designation,type,edi_name,manual_label,weight_lb_ft,area_sq_in,depth_in,flange_w_in,web_t_in,flange_t_in
W44X408,W,W44X408,W44X408,408.0,120.0,44.8,16.1,1.22,2.17
W44X368,W,W44X368,W44X368,368.0,108.0,44.4,16.0,1.1,1.97
W44X335,W,W44X335,W44X335,335.0,98.5,44.0,15.9,1.03,1.77
W44X290,W,W44X290,W44X290,290.0,85.4,43.6,15.8,0.865,1.58
W44X262,W,W44X262,W44X262,262.0,77.2,43.3,15.8,0.785,1.42
W44X230,W,W44X230,W44X230,230.0,67.8,42.9,15.8,0.71,1.22
W40X655,W,W40X655,W40X655,655.0,193.0,43.6,16.9,1.97,3.54
W40X593,W,W40X593,W40X593,593.0,174.0,43.0,16.7,1.79,3.23
W40X503,W,W40X503,W40X503,503.0,148.0,42.1,16.4,1.54,2.76
W40X431,W,W40X431,W40X431,431.0,127.0,41.3,16.2,1.34,2.36
W40X397,W,W40X397,W40X397,397.0,117.0,41.0,16.1,1.22,2.2
W40X372,W,W40X372,W40X372,372.0,110.0,40.6,16.1,1.16,2.05
W40X362,W,W40X362,W40X362,362.0,106.0,40.6,16.0,1.12,2.01
W40X324,W,W40X324,W40X324,324.0,95.3,40.2,15.9,1.0,1.81
W40X297,W,W40X297,W40X297,297.0,87.3,39.8,15.8,0.93,1.65
W40X277,W,W40X277,W40X277,277.0,81.5,39.7,15.8,0.83,1.58
W40X249,W,W40X249,W40X249,249.0,73.5,39.4,15.8,0.75,1.42
W40X215,W,W40X215,W40X215,215.0,63.5,39.0,15.8,0.65,1.22
W40X199,W,W40X199,W40X199,199.0,58.8,38.7,15.8,0.65,1.07
W40X392,W,W40X392,W40X392,392.0,116.0,41.6,12.4,1.42,2.52
W40X331,W,W40X331,W40X331,331.0,97.7,40.8,12.2,1.22,2.13
W40X327,W,W40X327,W40X327,327.0,95.9,40.8,12.1,1.18,2.13
W40X294,W,W40X294,W40X294,294.0,86.2,40.4,12.0,1.06,1.93
W40X278,W,W40X278,W40X278,278.0,82.3,40.2,12.0,1.03,1.81
W40X264,W,W40X264,W40X264,264.0,77.4,40.0,11.9,0.96,1.73
W40X235,W,W40X235,W40X235,235.0,69.1,39.7,11.9,0.83,1.58
W40X211,W,W40X211,W40X211,211.0,62.1,39.4,11.8,0.75,1.42
W40X183,W,W40X183,W40X183,183.0,53.3,39.0,11.8,0.65,1.2
W40X167,W,W40X167,W40X167,167.0,49.3,38.6,11.8,0.65,1.03
W40X149,W,W40X149,W40X149,149.0,43.8,38.2,11.8,0.63,0.83
W36X925,W,W36X925,W36X925,925.0,272.0,43.1,18.6,3.02,4.53
W36X853,W,W36X853,W36X853,853.0,251.0,43.1,18.2,2.52,4.53
W36X802,W,W36X802,W36X802,802.0,236.0,42.6,18.0,2.38,4.29
W36X723,W,W36X723,W36X723,723.0,213.0,41.8,17.8,2.17,3.9
